"";"MI";"ME";"amotI"
"MIVar";0.494038479650501;0.301502117817525;9.15333335851956e-05
"MEVar";0.874470913402789;0.509924394132485;0.0498794683900253
"AMOTVar";0.877882026808257;0.834287755503192;0.956673756407027
