"";"MI";"ME";"amotI"
"MIVar";0.224588307563754;0.670492178140042;0.00643437762763837
"MEVar";0.178939463660811;0.709932336905422;0.000184792461454246
"AMOTVar";0.488012514193646;0.710200218252902;0.41996289052098
