"";"MI";"ME";"amotI"
"MIVar";0.223791599354933;0.343365313546004;0.0013519300485628
"MEVar";0.27711706767754;0.487529392802669;0.33567759355747
"AMOTVar";0.179764286174203;0.506824957102609;0.412442438384672
