"";"MI";"ME";"amotI"
"MIVar";-0.198433783305458;-0.0680165703016123;0.45906409501282
"MEVar";-0.209375779505216;-0.05653425125552;-0.629706804988516
"amotVar";-0.131684903395512;0.0695123717657242;-0.15130639121923
