"";"MI";"ME";"amotI"
"MIVar";0.411507877668584;0.861073003516264;4.74931700924799e-05
"MEVar";0.127806220071838;0.0965148496135393;5.55407866844171e-06
"AMOTVar";0.710737021279675;0.890400936200952;0.325156479797839
