"";"MI";"ME";"amotI"
"MIVar";-0.131228646796185;0.0245713212580531;0.623666511504145
"MEVar";-0.261543276520185;0.252636423154211;-0.762533041714691
"amotVar";-0.0832925527926932;0.0272873061591726;-0.191086262518063
