"";"MI";"ME";"amotI"
"MIVar";0.140642714416588;0.943113828229959;0.00028484742511501
"MEVar";0.0968069715274703;0.12893581929775;0.00028654735324429
"AMOTVar";0.795197978901817;0.497077772944864;0.6696191259214
