"";"MI";"ME";"amotI"
"MIVar";0.223024942784809;0.150608650749054;0.00467346187104431
"MEVar";0.0381386603116026;0.230983358539503;0.588496235844002
"AMOTVar";0.228728341755673;0.256401288242088;0.776439203797773
