"";"MI";"ME";"amotI"
"MIVar";-0.10445713085335;-0.139390657957253;0.65013793588179
"MEVar";0.0295363384375782;-0.10867121845037;-0.367901125791292
"amotVar";0.0318344183765142;0.038128142737056;0.0109915108853821
