User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
eleveaf10;progress;116;46;15;4;0;01:47:37;3;Female;-6;12;9;5;6;-4;11;14;4;8;10;18;16;10;15;11;19;12;14;9;-1;1;7;11;2;-4;-7
eleveaf11;avatar;115;83;23;14;2;01:49:14;3;Female;-4;8;10;-1;-7;11;11;15;7;18;16;20;9;9;16;7;20;15;17;8;-2;1;0;2;-1;-3;-1
eleveaf12;ranking;172;101;29;11;2;02:30:51;2;Female;4;7;-4;7;1;7;15;18;14;13;18;20;7;12;18;14;15;17;19;11;-3;0;0;2;-1;-1;4
eleveaf13;ranking;250;189;43;29;8;03:12:20;9;Female;9;4;0;8;4;2;18;18;19;18;15;18;4;17;19;18;20;17;18;11;-1;1;-1;2;2;0;7
eleveaf14;avatar;174;86;29;4;0;01:57:32;2;Female;2;5;6;3;-1;4;12;18;14;18;16;19;5;12;13;14;15;11;18;14;0;-5;0;-3;-5;-1;9
eleveaf15;progress;144;89;30;11;1;01:47:13;2;Female;9;12;7;11;9;9;13;20;12;11;15;20;13;14;20;13;14;18;20;9;1;0;1;3;3;0;-4
eleveaf16;timer;165;75;24;4;0;02:15:07;2;Female;-4;7;5;4;-1;1;11;15;11;20;16;20;5;7;12;8;17;13;15;8;-4;-3;-3;-3;-3;-5;3
eleveag02;badges;170;81;27;6;1;02:04:08;1;Male;11;7;0;10;2;3;20;18;19;18;16;15;5;13;16;15;16;15;17;11;-7;-2;-4;-2;-1;2;6
eleveag03;timer;218;117;41;12;0;03:27:19;3;Male;4;12;10;5;-2;8;14;20;13;14;16;19;5;8;9;13;11;14;12;15;-6;-11;0;-3;-2;-7;10
eleveag04;progress;105;40;21;2;0;01:14:29;1;Male;-12;10;4;3;3;-1;5;13;6;19;12;16;9;9;14;9;11;5;12;11;4;1;3;-8;-7;-4;2
eleveag06;score;264;142;45;17;4;03:02:41;7;Male;-2;10;-1;-1;1;0;12;13;11;19;8;11;5;13;12;14;20;14;17;10;1;-1;3;1;6;6;5
eleveag07;badges;157;53;31;1;0;01:44:48;0;Male;4;3;8;5;-9;6;14;18;14;9;14;15;9;14;14;11;9;10;13;10;0;-4;-3;0;-4;-2;1
eleveag08;timer;199;154;39;24;5;03:01:36;0;Male;11;12;0;11;1;3;19;20;19;16;20;20;4;16;20;20;18;20;20;8;-3;0;1;2;0;0;4
eleveag09;progress;137;56;31;4;0;02:10:14;1;Male;-11;0;-4;-9;-12;-4;7;9;6;18;15;16;10;13;14;14;16;17;17;10;6;5;8;-2;2;1;0
elevelf02;badges;91;52;18;5;0;00:58:20;0;Female;8;-9;8;6;-5;5;18;20;18;16;19;19;6;10;18;12;12;14;14;10;-8;-2;-6;-4;-5;-5;4
elevelf03;timer;150;60;25;5;0;01:57:44;1;Female;1;-3;5;7;-1;8;13;15;10;15;13;16;6;11;14;10;16;15;14;9;-2;-1;0;1;2;-2;3
elevelf04;progress;107;60;20;6;0;01:10:49;0;Female;9;7;4;8;-8;3;16;18;15;17;15;19;4;12;19;16;19;17;19;11;-4;1;1;2;2;0;7
elevelf05;avatar;92;44;15;3;0;01:14:13;0;Female;4;6;4;5;-9;7;17;19;15;20;18;19;4;15;19;13;20;16;16;10;-2;0;-2;0;-2;-3;6
elevelf06;ranking;91;49;20;5;0;01:04:00;0;Female;-5;12;5;6;-1;-3;16;20;14;20;16;19;4;15;17;6;18;13;16;15;-1;-3;-8;-2;-3;-3;11
elevelf07;score;94;40;16;4;0;01:10:03;1;Female;-5;9;2;4;-9;3;13;16;9;13;12;20;5;12;18;6;13;16;19;9;-1;2;-3;0;4;-1;4
elevelf11;avatar;100;55;18;5;0;01:17:40;0;Female;6;0;10;-1;-2;7;13;14;9;16;14;13;4;11;13;14;18;13;15;5;-2;-1;5;2;-1;2;1
elevelf12;ranking;86;51;16;8;0;01:13:57;1;Female;9;4;8;7;-2;1;13;19;13;17;14;20;6;11;15;13;18;16;19;9;-2;-4;0;1;2;-1;3
elevelf13;score;112;76;21;12;2;01:44:20;2;Female;11;8;8;11;-7;9;20;19;19;20;16;20;4;16;17;14;20;16;18;8;-4;-2;-5;0;0;-2;4
elevelg01;score;138;73;29;9;1;01:43:50;1;Male;-1;6;5;2;-8;5;16;20;11;10;15;20;8;12;20;13;13;18;20;8;-4;0;2;3;3;0;0
elevelg02;badges;164;68;27;4;0;01:43:24;1;Male;-5;-4;-7;-1;-3;-3;15;15;15;6;11;15;7;13;15;13;9;13;15;14;-2;0;-2;3;2;0;7
elevelg03;timer;123;86;24;11;2;02:05:17;0;Male;10;12;7;11;0;11;20;20;19;20;18;20;4;16;20;18;20;20;20;8;-4;0;-1;0;2;0;4
elevelg04;progress;134;97;30;19;4;02:12:14;1;Male;10;8;0;7;0;3;16;18;19;19;16;13;4;13;17;15;17;16;11;7;-3;-1;-4;-2;0;-2;3
elevelg05;avatar;151;115;35;23;5;02:03:13;1;Male;2;3;1;2;-1;2;14;14;12;17;18;18;4;11;14;12;16;11;17;9;-3;0;0;-1;-7;-1;5
elevelg06;ranking;114;53;22;5;1;01:19:17;0;Male;3;11;4;6;-1;5;14;19;12;9;17;20;8;10;15;13;9;15;16;12;-4;-4;1;0;-2;-4;4
elevelg07;score;97;44;20;4;0;01:15:03;2;Male;-9;12;-8;6;-6;0;14;14;6;11;14;16;6;12;12;4;8;8;12;11;-2;-2;-2;-3;-6;-4;5
elevelg08;badges;100;53;21;5;0;01:03:26;1;Male;-3;6;-6;3;-4;-1;12;15;9;16;14;15;7;11;13;11;16;12;15;9;-1;-2;2;0;-2;0;2
elevelg09;timer;116;32;19;4;0;01:38:14;0;Male;-8;-4;0;-1;-5;-5;10;16;12;11;10;15;4;7;9;6;9;7;11;13;-3;-7;-6;-2;-3;-4;9
elevelg10;progress;87;46;16;7;1;01:20:21;1;Male;11;8;5;7;3;8;19;20;17;17;18;18;4;15;19;16;17;14;18;9;-4;-1;-1;0;-4;0;5
elevelg11;avatar;127;58;26;9;0;01:34:33;0;Male;-4;12;4;7;0;1;15;12;12;11;11;19;7;15;17;19;14;16;20;8;0;5;7;3;5;1;1
elevelg12;ranking;73;29;11;1;1;00:48:07;1;Male;9;12;10;11;3;10;19;19;17;20;18;20;4;16;20;15;20;20;20;8;-3;1;-2;0;2;0;4
eleveag10;avatar;178;74;35;3;0;01:52:38;4;Male;-12;-7;-7;-10;-11;-6;6;7;5;7;8;5;10;4;4;4;4;4;4;4;-2;-3;-1;-3;-4;-1;-6
eleveaf03;timer;139;32;18;1;0;01:44:19;0;Female;-8;0;2;0;6;7;8;14;7;10;9;14;6;4;12;8;12;4;6;10;-4;-2;1;2;-5;-8;4
eleveag05;avatar;117;43;20;3;0;01:36:49;2;Male;0;-2;12;2;5;-4;9;11;4;12;4;13;10;4;4;4;4;4;4;4;-5;-7;0;-8;0;-9;-6
