User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevehf09;timer;95;61;16;7;0;01:33:29;0;Female;6;-9;3;12;-5;11;12;13;11;11;13;14;10;11;13;9;12;9;11;13;-1;0;-2;1;-4;-3;3
elevehf10;progress;32;15;4;1;0;00:29:54;0;Female;6;8;-4;9;-5;9;16;19;12;19;17;13;4;13;16;12;19;15;10;7;-3;-3;0;0;-2;-3;3
elevehg01;score;114;85;22;11;2;02:05:35;2;Male;-4;9;11;1;-1;9;14;13;14;10;12;17;5;8;15;14;12;12;14;10;-6;2;0;2;0;-3;5
elevehg02;badges;111;71;21;9;1;01:39:57;3;Male;8;12;10;12;-1;12;17;20;18;20;18;20;4;12;16;11;18;15;17;8;-5;-4;-7;-2;-3;-3;4
elevehg03;timer;137;98;26;14;5;02:12:05;2;Male;7;8;8;-3;7;7;8;5;6;12;13;12;16;13;19;18;16;18;13;9;5;14;12;4;5;1;-7
elevehg04;progress;198;173;41;31;5;02:28:16;7;Male;10;7;2;6;-3;12;17;20;13;19;20;20;4;13;20;17;18;17;16;8;-4;0;4;-1;-3;-4;4
elevehg05;avatar;118;86;24;16;2;01:41:57;4;Male;8;1;2;9;3;7;18;18;16;16;13;15;4;15;18;17;13;17;15;10;-3;0;1;-3;4;0;6
elevehg06;ranking;94;59;18;10;0;01:22:47;4;Male;10;7;8;10;-8;5;17;14;10;13;18;17;8;14;20;11;16;20;20;8;-3;6;1;3;2;3;0
elevehg07;score;115;83;21;15;2;01:16:21;2;Male;3;12;6;3;-9;1;13;14;10;13;12;13;5;12;15;11;13;14;15;7;-1;1;1;0;2;2;2
elevehg09;timer;128;82;25;10;2;02:01:15;0;Male;5;8;11;8;-7;10;17;18;17;13;14;16;5;13;18;15;16;17;16;8;-4;0;-2;3;3;0;3
elevehg10;progress;84;45;15;5;0;00:57:19;1;Male;0;4;10;2;-7;8;17;17;15;17;18;17;8;12;8;14;12;10;8;15;-5;-9;-1;-5;-8;-9;7
elevehg11;avatar;106;63;22;10;1;01:17:27;0;Male;-1;-1;7;4;1;11;16;17;15;17;9;9;8;13;18;16;16;13;13;10;-3;1;1;-1;4;4;2
elevehg12;ranking;92;72;18;15;1;01:07:24;3;Male;4;-2;-1;8;-8;2;12;18;13;14;13;15;5;10;17;11;15;17;14;8;-2;-1;-2;1;4;-1;3
elevehg13;score;121;105;27;20;3;01:42:27;3;Male;2;-12;-1;8;-2;3;19;15;17;20;14;10;4;15;19;18;19;18;12;6;-4;4;1;-1;4;2;2
