"";"achiever";"player";"socialiser";"freeSpirit";"disruptor";"philanthropist"
"MIVar";0.475504913553815;0.717529315994659;0.852327955988791;0.767019094065265;0.718875017144564;0.651149166737545
"MEVar";0.186036188920639;0.753880518784053;0.283058798148897;0.433225252156569;0.946301329918105;0.110116576531726
"AMOTVar";0.0596366278399054;0.906617622611253;0.454735995743754;0.276400438674571;0.827343477036727;0.036860063091871
