"";"achiever";"player";"socialiser";"freeSpirit";"disruptor";"philanthropist"
"MIVar";0.194828077356629;0.4899808209742;-0.184112127687905;0.0116672039417824;0.176233396189134;0.0314397358344131
"MEVar";-0.0958793255208317;-0.129676918003123;0.232340511320262;-0.0398938580203265;0.1654029494989;-0.499013399081689
"amotVar";-0.154193431255263;-0.0830753425684005;0.212659356622606;-0.164693209859085;-0.113534034753273;0.174012319298516
